"Date"	"Age"	"Gender"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-03-01	"65-74"	"M"	25.44	1.33	19.08	"15.89-22.91"	24.1	"19.63-28.58"
2019-04-01	"65-74"	"M"	29.77	1.34	22.19	"18.72-26.3"	28.42	"23.58-33.26"
2019-05-01	"65-74"	"M"	20.71	1.26	16.4	"13.39-20.09"	19.44	"15.39-23.5"
2019-06-01	"65-74"	"M"	27.19	1.25	21.8	"18.26-26.03"	25.94	"21.33-30.55"
2019-07-01	"65-74"	"M"	22.27	1.25	17.8	"14.65-21.62"	21.02	"16.84-25.19"
2019-08-01	"65-74"	"M"	23.27	1.25	18.54	"15.34-22.41"	22.01	"17.77-26.25"
2019-09-01	"65-74"	"M"	25.01	1.24	20.21	"16.83-24.26"	23.77	"19.39-28.15"
2019-10-01	"65-74"	"M"	24.14	1.31	18.41	"15.29-22.15"	22.83	"18.53-27.13"
2019-11-01	"65-74"	"M"	28.7	1.35	21.25	"17.93-25.18"	27.35	"22.7-32.01"
2019-12-01	"65-74"	"M"	33.08	1.44	22.96	"19.6-26.91"	31.64	"26.64-36.63"
2020-01-01	"65-74"	"M"	30.14	1.49	20.28	"17.2-23.91"	28.65	"23.9-33.4"
2020-02-01	"65-74"	"M"	25.66	1.31	19.55	"16.36-23.37"	24.35	"19.96-28.74"
2020-03-01	"65-74"	"M"	27.7	1.42	19.47	"16.42-23.08"	26.28	"21.75-30.8"
2020-04-01	"65-74"	"M"	40.38	1.32	30.55	"26.48-35.24"	39.05	"33.65-44.46"
2020-05-01	"65-74"	"M"	23.03	1.18	19.5	"16.14-23.56"	21.85	"17.67-26.02"
2020-06-01	"65-74"	"M"	19.85	1.16	17.15	"13.98-21.03"	18.69	"14.78-22.61"
2020-07-01	"65-74"	"M"	22.64	1.15	19.62	"16.21-23.75"	21.48	"17.34-25.63"
2020-08-01	"65-74"	"M"	25.12	1.21	20.83	"17.4-24.93"	23.91	"19.6-28.23"
2020-09-01	"65-74"	"M"	19.01	1.2	15.83	"12.9-19.44"	17.81	"14.04-21.58"
2020-10-01	"65-74"	"M"	23.62	1.19	19.92	"16.56-23.96"	22.44	"18.26-26.61"
2020-11-01	"65-74"	"M"	20.61	1.09	18.96	"15.57-23.1"	19.53	"15.62-23.43"
2019-02-01	"75-79"	"F"	24.17	1.94	12.47	"10.45-14.88"	22.24	"18.31-26.16"
2019-03-01	"75-79"	"F"	22.37	1.84	12.19	"10.15-14.64"	20.53	"16.75-24.32"
2019-04-01	"75-79"	"F"	25.36	1.8	14.1	"11.86-16.77"	23.56	"19.55-27.57"
2019-05-01	"75-79"	"F"	24.18	1.73	13.99	"11.72-16.71"	22.46	"18.54-26.37"
2019-06-01	"75-79"	"F"	19.07	1.52	12.55	"10.3-15.29"	17.55	"14.08-21.01"
2019-07-01	"75-79"	"F"	22.32	1.68	13.28	"11.07-15.93"	20.64	"16.92-24.36"
2019-08-01	"75-79"	"F"	18.91	1.65	11.44	"9.41-13.91"	17.26	"13.83-20.68"
2019-09-01	"75-79"	"F"	22.45	1.7	13.21	"11.03-15.81"	20.75	"17.04-24.45"
2019-10-01	"75-79"	"F"	25.22	1.81	13.93	"11.74-16.52"	23.41	"19.49-27.32"
2019-11-01	"75-79"	"F"	29.31	1.81	16.19	"13.81-18.98"	27.5	"23.31-31.68"
2019-12-01	"75-79"	"F"	32.16	2.15	14.94	"12.85-17.36"	30.01	"25.63-34.4"
2020-01-01	"75-79"	"F"	29.65	2.14	13.83	"11.84-16.16"	27.5	"23.3-31.71"
2020-02-01	"75-79"	"F"	25.22	1.74	14.48	"12.23-17.15"	23.48	"19.61-27.35"
2020-03-01	"75-79"	"F"	28.8	1.97	14.59	"12.46-17.08"	26.82	"22.7-30.95"
2020-04-01	"75-79"	"F"	38.36	1.84	20.85	"18.11-24.01"	36.52	"31.81-41.23"
2020-05-01	"75-79"	"F"	24.3	1.52	15.94	"13.38-18.99"	22.78	"18.93-26.62"
2020-06-01	"75-79"	"F"	19.88	1.59	12.47	"10.3-15.1"	18.29	"14.78-21.8"
2020-07-01	"75-79"	"F"	19.64	1.61	12.16	"10.05-14.72"	18.02	"14.56-21.49"
2020-08-01	"75-79"	"F"	17.53	1.62	10.8	"8.85-13.17"	15.91	"12.66-19.16"
2020-09-01	"75-79"	"F"	19.73	1.65	11.94	"9.89-14.4"	18.08	"14.65-21.5"
2020-10-01	"75-79"	"F"	23.43	1.72	13.59	"11.43-16.16"	21.71	"18-25.42"
2020-11-01	"75-79"	"F"	22.15	1.46	15.2	"12.7-18.18"	20.69	"17.1-24.28"
2019-02-01	"75-79"	"M"	38.1	2.64	14.43	"12.24-17.01"	35.46	"29.67-41.25"
2019-03-01	"75-79"	"M"	34.11	2.62	13.02	"10.95-15.47"	31.49	"26.01-36.96"
2019-04-01	"75-79"	"M"	27.26	2.69	10.13	"8.37-12.25"	24.57	"19.66-29.49"
2019-05-01	"75-79"	"M"	27.39	2.48	11.03	"9.12-13.34"	24.91	"20.01-29.81"
2019-06-01	"75-79"	"M"	34.38	2.52	13.62	"11.49-16.14"	31.85	"26.43-37.28"
2019-07-01	"75-79"	"M"	28.68	2.56	11.21	"9.33-13.46"	26.12	"21.18-31.05"
2019-08-01	"75-79"	"M"	30.4	2.36	12.91	"10.8-15.42"	28.05	"23.02-33.08"
2019-09-01	"75-79"	"M"	30.54	2.4	12.7	"10.65-15.15"	28.14	"23.12-33.16"
2019-10-01	"75-79"	"M"	35.31	2.66	13.26	"11.26-15.63"	32.65	"27.28-38.02"
2019-11-01	"75-79"	"M"	39.36	2.89	13.62	"11.66-15.89"	36.47	"30.83-42.11"
2019-12-01	"75-79"	"M"	43.37	3.16	13.73	"11.85-15.9"	40.21	"34.32-46.11"
2020-01-01	"75-79"	"M"	46.01	3.03	15.2	"13.16-17.56"	42.99	"36.89-49.08"
2020-02-01	"75-79"	"M"	35.13	2.58	13.62	"11.56-16.05"	32.55	"27.21-37.9"
2020-03-01	"75-79"	"M"	41.51	2.8	14.82	"12.74-17.23"	38.71	"32.95-44.47"
2020-04-01	"75-79"	"M"	51.23	2.66	19.22	"16.74-22.08"	48.56	"42.2-54.93"
2020-05-01	"75-79"	"M"	31.04	2.45	12.69	"10.62-15.17"	28.59	"23.42-33.77"
2020-06-01	"75-79"	"M"	23.72	2.24	10.59	"8.62-13"	21.48	"16.86-26.09"
2020-07-01	"75-79"	"M"	30.11	2.25	13.41	"11.17-16.09"	27.87	"22.75-32.98"
2020-08-01	"75-79"	"M"	26.97	2.37	11.38	"9.42-13.75"	24.6	"19.8-29.4"
2020-09-01	"75-79"	"M"	29.68	2.36	12.55	"10.48-15.04"	27.31	"22.31-32.32"
2020-10-01	"75-79"	"M"	35.28	2.34	15.09	"12.78-17.82"	32.94	"27.54-38.34"
2020-11-01	"75-79"	"M"	30.04	2.11	14.23	"11.9-17.01"	27.93	"22.96-32.9"
2019-02-01	"80-84"	"F"	28.49	3.41	8.34	"7.39-9.42"	25.07	"22.04-28.11"
2019-03-01	"80-84"	"F"	23.64	3.11	7.6	"6.66-8.68"	20.53	"17.76-23.3"
2019-04-01	"80-84"	"F"	24.22	2.99	8.09	"7.09-9.23"	21.23	"18.43-24.03"
2019-05-01	"80-84"	"F"	25.91	3.11	8.33	"7.33-9.46"	22.8	"19.91-25.69"
2019-06-01	"80-84"	"F"	23.83	2.76	8.64	"7.56-9.87"	21.07	"18.32-23.82"
2019-07-01	"80-84"	"F"	24.92	2.94	8.49	"7.46-9.66"	21.99	"19.17-24.8"
2019-08-01	"80-84"	"F"	22.86	2.68	8.52	"7.44-9.75"	20.18	"17.49-22.87"
2019-09-01	"80-84"	"F"	24.78	2.84	8.74	"7.67-9.95"	21.95	"19.16-24.73"
2019-10-01	"80-84"	"F"	29.91	3.19	9.39	"8.33-10.57"	26.72	"23.67-29.78"
2019-11-01	"80-84"	"F"	28.58	3.27	8.74	"7.75-9.86"	25.31	"22.32-28.29"
2019-12-01	"80-84"	"F"	33.29	3.65	9.12	"8.15-10.2"	29.64	"26.42-32.85"
2020-01-01	"80-84"	"F"	29.74	3.59	8.29	"7.37-9.33"	26.15	"23.1-29.2"
2020-02-01	"80-84"	"F"	28.93	3.04	9.52	"8.44-10.74"	25.89	"22.9-28.88"
2020-03-01	"80-84"	"F"	28.3	3.34	8.46	"7.5-9.54"	24.96	"22-27.92"
2020-04-01	"80-84"	"F"	42.63	3.15	13.55	"12.21-15.04"	39.49	"35.89-43.08"
2020-05-01	"80-84"	"F"	25.78	2.74	9.42	"8.27-10.72"	23.05	"20.17-25.92"
2020-06-01	"80-84"	"F"	20.44	2.55	8	"6.93-9.24"	17.88	"15.28-20.48"
2020-07-01	"80-84"	"F"	21.47	2.58	8.31	"7.22-9.57"	18.89	"16.24-21.54"
2020-08-01	"80-84"	"F"	24.23	2.86	8.46	"7.42-9.66"	21.37	"18.58-24.16"
2020-09-01	"80-84"	"F"	22.12	2.61	8.48	"7.39-9.73"	19.51	"16.85-22.18"
2020-10-01	"80-84"	"F"	26.07	2.82	9.25	"8.14-10.51"	23.26	"20.38-26.13"
2020-11-01	"80-84"	"F"	23.88	2.58	9.27	"8.11-10.6"	21.31	"18.55-24.06"
2019-02-01	"80-84"	"M"	42.39	4.67	9.08	"7.95-10.38"	37.73	"32.61-42.84"
2019-03-01	"80-84"	"M"	39.29	4.62	8.5	"7.41-9.76"	34.67	"29.75-39.59"
2019-04-01	"80-84"	"M"	40.67	4.86	8.37	"7.32-9.58"	35.81	"30.8-40.82"
2019-05-01	"80-84"	"M"	40.05	4.27	9.37	"8.17-10.75"	35.77	"30.82-40.73"
2019-06-01	"80-84"	"M"	40.31	3.87	10.42	"9.09-11.95"	36.45	"31.51-41.38"
2019-07-01	"80-84"	"M"	34.26	4.37	7.85	"6.79-9.07"	29.9	"25.34-34.45"
2019-08-01	"80-84"	"M"	41.14	4.09	10.07	"8.81-11.51"	37.05	"32.12-41.99"
2019-09-01	"80-84"	"M"	38.27	3.93	9.74	"8.48-11.18"	34.34	"29.6-39.08"
2019-10-01	"80-84"	"M"	46.77	4.46	10.49	"9.25-11.89"	42.31	"37.07-47.55"
2019-11-01	"80-84"	"M"	46.78	4.77	9.81	"8.66-11.11"	42.01	"36.79-47.23"
2019-12-01	"80-84"	"M"	52.96	5.33	9.93	"8.83-11.17"	47.63	"42.06-53.2"
2020-01-01	"80-84"	"M"	52.9	5.13	10.32	"9.17-11.61"	47.78	"42.2-53.36"
2020-02-01	"80-84"	"M"	43.72	4.36	10.03	"8.81-11.41"	39.36	"34.29-44.43"
2020-03-01	"80-84"	"M"	53.99	4.71	11.45	"10.19-12.88"	49.28	"43.7-54.86"
2020-04-01	"80-84"	"M"	67.28	4.55	14.78	"13.27-16.46"	62.73	"56.55-68.9"
2020-05-01	"80-84"	"M"	35.91	3.97	9.04	"7.81-10.47"	31.94	"27.14-36.73"
2020-06-01	"80-84"	"M"	28.17	3.82	7.38	"6.26-8.7"	24.35	"20.04-28.67"
2020-07-01	"80-84"	"M"	34.17	3.87	8.83	"7.59-10.28"	30.3	"25.58-35.03"
2020-08-01	"80-84"	"M"	37.71	4.15	9.1	"7.89-10.49"	33.57	"28.69-38.44"
2020-09-01	"80-84"	"M"	38.49	4.13	9.32	"8.09-10.72"	34.36	"29.45-39.27"
2020-10-01	"80-84"	"M"	41.78	3.99	10.47	"9.13-11.99"	37.79	"32.69-42.89"
2020-11-01	"80-84"	"M"	35.93	3.74	9.6	"8.3-11.11"	32.19	"27.46-36.91"
2019-02-01	"85-89"	"F"	31.46	6.14	5.12	"4.64-5.66"	25.32	"22.73-27.91"
2019-03-01	"85-89"	"F"	29.04	5.73	5.07	"4.57-5.62"	23.31	"20.82-25.79"
2019-04-01	"85-89"	"F"	31.16	5.97	5.22	"4.72-5.77"	25.19	"22.62-27.76"
2019-05-01	"85-89"	"F"	26.4	5.5	4.8	"4.31-5.34"	20.9	"18.52-23.27"
2019-06-01	"85-89"	"F"	25.23	4.91	5.13	"4.6-5.73"	20.31	"18-22.62"
2019-07-01	"85-89"	"F"	26.04	4.92	5.29	"4.75-5.9"	21.12	"18.78-23.45"
2019-08-01	"85-89"	"F"	28.14	5.25	5.36	"4.83-5.95"	22.89	"20.48-25.3"
2019-09-01	"85-89"	"F"	26.25	4.91	5.35	"4.8-5.96"	21.34	"19.02-23.66"
2019-10-01	"85-89"	"F"	31.96	5.35	5.97	"5.4-6.59"	26.61	"24.06-29.16"
2019-11-01	"85-89"	"F"	34.59	5.73	6.04	"5.49-6.65"	28.86	"26.22-31.51"
2019-12-01	"85-89"	"F"	38.56	6.43	6	"5.48-6.56"	32.13	"29.34-34.91"
2020-01-01	"85-89"	"F"	35.48	6.7	5.29	"4.82-5.8"	28.77	"26.09-31.46"
2020-02-01	"85-89"	"F"	33.45	5.74	5.83	"5.3-6.42"	27.71	"25.11-30.32"
2020-03-01	"85-89"	"F"	34.58	5.96	5.8	"5.27-6.38"	28.62	"25.97-31.26"
2020-04-01	"85-89"	"F"	50.8	6.27	8.1	"7.45-8.8"	44.53	"41.35-47.7"
2020-05-01	"85-89"	"F"	30.75	4.8	6.4	"5.77-7.11"	25.94	"23.39-28.5"
2020-06-01	"85-89"	"F"	22.77	4.77	4.77	"4.25-5.36"	18	"15.77-20.23"
2020-07-01	"85-89"	"F"	24.13	4.71	5.12	"4.57-5.75"	19.42	"17.13-21.72"
2020-08-01	"85-89"	"F"	24.89	4.66	5.35	"4.78-5.98"	20.23	"17.92-22.54"
2020-09-01	"85-89"	"F"	24.22	4.61	5.26	"4.69-5.89"	19.62	"17.34-21.89"
2020-10-01	"85-89"	"F"	29.7	4.87	6.1	"5.49-6.77"	24.83	"22.32-27.34"
2020-11-01	"85-89"	"F"	27.14	4.85	5.6	"5.02-6.24"	22.29	"19.89-24.68"
2019-02-01	"85-89"	"M"	50.97	8.26	6.17	"5.49-6.94"	42.71	"37.48-47.93"
2019-03-01	"85-89"	"M"	44.16	7.31	6.04	"5.33-6.85"	36.86	"31.99-41.73"
2019-04-01	"85-89"	"M"	46.86	7.64	6.14	"5.43-6.93"	39.23	"34.23-44.22"
2019-05-01	"85-89"	"M"	48.11	7.83	6.14	"5.45-6.93"	40.28	"35.24-45.33"
2019-06-01	"85-89"	"M"	45.7	7.09	6.44	"5.7-7.29"	38.61	"33.73-43.49"
2019-07-01	"85-89"	"M"	43.48	7.18	6.06	"5.34-6.87"	36.3	"31.55-41.06"
2019-08-01	"85-89"	"M"	43.22	6.72	6.43	"5.67-7.3"	36.5	"31.77-41.23"
2019-09-01	"85-89"	"M"	42.94	7.03	6.11	"5.39-6.93"	35.91	"31.23-40.6"
2019-10-01	"85-89"	"M"	54.39	7.43	7.32	"6.53-8.19"	46.95	"41.74-52.17"
2019-11-01	"85-89"	"M"	56.45	8.05	7.01	"6.28-7.83"	48.41	"43.08-53.73"
2019-12-01	"85-89"	"M"	59.37	8.91	6.66	"5.99-7.42"	50.46	"45-55.92"
2020-01-01	"85-89"	"M"	58.72	8.86	6.62	"5.95-7.38"	49.86	"44.4-55.32"
2020-02-01	"85-89"	"M"	53.35	8.26	6.45	"5.76-7.23"	45.08	"39.86-50.3"
2020-03-01	"85-89"	"M"	57.99	8.72	6.65	"5.97-7.42"	49.28	"43.86-54.69"
2020-04-01	"85-89"	"M"	78.2	8	9.77	"8.86-10.78"	70.2	"63.98-76.42"
2020-05-01	"85-89"	"M"	46.61	6.71	6.95	"6.13-7.89"	39.9	"34.8-45.01"
2020-06-01	"85-89"	"M"	37.54	6.45	5.82	"5.06-6.7"	31.09	"26.39-35.79"
2020-07-01	"85-89"	"M"	32.59	6.43	5.07	"4.37-5.88"	26.16	"21.78-30.54"
2020-08-01	"85-89"	"M"	41.85	6.36	6.58	"5.76-7.52"	35.49	"30.63-40.35"
2020-09-01	"85-89"	"M"	42.61	6.48	6.57	"5.77-7.49"	36.13	"31.25-41"
2020-10-01	"85-89"	"M"	46.3	7.18	6.45	"5.69-7.31"	39.12	"34.05-44.2"
2020-11-01	"85-89"	"M"	41.08	6.54	6.28	"5.5-7.17"	34.53	"29.76-39.31"
2019-02-01	"90+"	"F"	39.15	13.06	3	"2.77-3.24"	26.09	"23.76-28.41"
2019-03-01	"90+"	"F"	37.46	11.77	3.18	"2.94-3.45"	25.7	"23.42-27.97"
2019-04-01	"90+"	"F"	35.05	11.87	2.95	"2.72-3.2"	23.18	"20.98-25.37"
2019-05-01	"90+"	"F"	37.4	11.37	3.29	"3.04-3.56"	26.03	"23.78-28.28"
2019-06-01	"90+"	"F"	33.18	10.58	3.14	"2.88-3.41"	22.6	"20.48-24.71"
2019-07-01	"90+"	"F"	34.52	10.15	3.4	"3.13-3.7"	24.37	"22.23-26.52"
2019-08-01	"90+"	"F"	32.76	10.3	3.18	"2.92-3.46"	22.46	"20.38-24.54"
2019-09-01	"90+"	"F"	32.22	10.15	3.17	"2.92-3.46"	22.07	"20.02-24.12"
2019-10-01	"90+"	"F"	40.93	11.77	3.48	"3.22-3.76"	29.16	"26.87-31.46"
2019-11-01	"90+"	"F"	40.89	12.04	3.4	"3.15-3.67"	28.86	"26.57-31.14"
2019-12-01	"90+"	"F"	46.89	14.32	3.27	"3.05-3.51"	32.57	"30.12-35.01"
2020-01-01	"90+"	"F"	44.67	14.63	3.05	"2.84-3.28"	30.04	"27.65-32.43"
2020-02-01	"90+"	"F"	39.72	12.36	3.21	"2.98-3.47"	27.36	"25.09-29.62"
2020-03-01	"90+"	"F"	41.53	13.35	3.11	"2.89-3.35"	28.18	"25.88-30.48"
2020-04-01	"90+"	"F"	57.29	13.44	4.26	"3.98-4.56"	43.85	"41.17-46.52"
2020-05-01	"90+"	"F"	40.09	10.75	3.73	"3.44-4.04"	29.34	"27.04-31.65"
2020-06-01	"90+"	"F"	29.33	9.77	3	"2.75-3.28"	19.56	"17.55-21.57"
2020-07-01	"90+"	"F"	30.66	10.23	3	"2.75-3.27"	20.43	"18.38-22.47"
2020-08-01	"90+"	"F"	32.64	10.4	3.14	"2.88-3.42"	22.24	"20.15-24.32"
2020-09-01	"90+"	"F"	31.59	10.12	3.12	"2.86-3.4"	21.47	"19.42-23.51"
2020-10-01	"90+"	"F"	34.69	11.18	3.1	"2.86-3.37"	23.51	"21.37-25.64"
2020-11-01	"90+"	"F"	32.77	10.57	3.1	"2.85-3.37"	22.2	"20.13-24.27"
2019-02-01	"90+"	"M"	66.6	15.89	4.19	"3.76-4.67"	50.7	"44.84-56.57"
2019-03-01	"90+"	"M"	51.76	15.43	3.36	"2.98-3.78"	36.33	"31.12-41.55"
2019-04-01	"90+"	"M"	57.99	15.45	3.75	"3.35-4.21"	42.54	"37.07-48.01"
2019-05-01	"90+"	"M"	54.26	14.18	3.83	"3.4-4.31"	40.08	"34.79-45.36"
2019-06-01	"90+"	"M"	49.05	11.89	4.13	"3.64-4.67"	37.16	"32.16-42.16"
2019-07-01	"90+"	"M"	52.39	12.29	4.26	"3.78-4.81"	40.1	"34.97-45.24"
2019-08-01	"90+"	"M"	51.74	12.77	4.05	"3.59-4.57"	38.97	"33.91-44.03"
2019-09-01	"90+"	"M"	52.65	13.16	4	"3.55-4.5"	39.49	"34.41-44.57"
2019-10-01	"90+"	"M"	58.19	14.86	3.92	"3.5-4.38"	43.33	"38.02-48.64"
2019-11-01	"90+"	"M"	63.8	15.68	4.07	"3.66-4.53"	48.12	"42.6-53.64"
2019-12-01	"90+"	"M"	68.62	17.87	3.84	"3.47-4.25"	50.75	"45.03-56.48"
2020-01-01	"90+"	"M"	69.71	17.7	3.94	"3.56-4.36"	52.02	"46.24-57.8"
2020-02-01	"90+"	"M"	62.31	14.97	4.16	"3.73-4.64"	47.34	"41.87-52.81"
2020-03-01	"90+"	"M"	67.64	17.13	3.95	"3.56-4.38"	50.51	"44.84-56.19"
2020-04-01	"90+"	"M"	82.14	16.11	5.1	"4.63-5.62"	66.03	"59.84-72.22"
2020-05-01	"90+"	"M"	54.33	13.56	4.01	"3.56-4.51"	40.76	"35.42-46.1"
2020-06-01	"90+"	"M"	45.54	11.21	4.06	"3.56-4.64"	34.33	"29.29-39.38"
2020-07-01	"90+"	"M"	44.8	11.62	3.86	"3.38-4.4"	33.18	"28.18-38.19"
2020-08-01	"90+"	"M"	52.02	11.73	4.43	"3.92-5.02"	40.29	"35-45.58"
2020-09-01	"90+"	"M"	49.89	12.19	4.09	"3.61-4.64"	37.7	"32.54-42.86"
2020-10-01	"90+"	"M"	57.2	13.76	4.16	"3.7-4.67"	43.44	"37.96-48.92"
2020-11-01	"90+"	"M"	49.04	12.58	3.9	"3.44-4.41"	36.46	"31.37-41.54"
